produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Cafe com leite 3 coracoes sache 20 gr,1.49,https://americanas.vtexassets.com/arquivos/ids/413080/4879782014_1_xlarge.jpg?v=638750818421200000,5.0,20.0,7.45,Café
Café Almofada Tradicional com 500g Pilão,24.99,https://americanas.vtexassets.com/arquivos/ids/526309/9781619_1_xlarge.jpg?v=638750831339130000,5.0,500.0,5.0,Café
Café Torrado e Moído Tradicional pilão 500g,48.9,https://americanas.vtexassets.com/arquivos/ids/25159275/5966678856_1_xlarge.jpg?v=638755451070930000,0.0,500.0,9.78,Café
Café Solúvel Nescafé Original Vidro 100g,23.99,https://americanas.vtexassets.com/arquivos/ids/483508/104996399_1_xlarge.jpg?v=638750827700930000,5.0,100.0,23.99,Café
CAFE MOIDO GOURMET INTENSO 250G ORFEU,27.99,https://americanas.vtexassets.com/arquivos/ids/472768/7460085826_1_xlarge.jpg?v=638750826953300000,5.0,250.0,11.2,Café
CAFE C LEITE SOLUVEL ORIG 3 COR LATA300G,22.99,https://americanas.vtexassets.com/arquivos/ids/418404/7238061022_1_xlarge.jpg?v=638750819423430000,5.0,300.0,7.66,Café
Café Torrado Em Grãos América Vending 1Kg,,https://americanas.vtexassets.com/arquivos/ids/6874363/7334637378_1_xlarge.jpg?v=638751690831930000,0.0,1000.0,,Café
Café em grãos bialetti roma 500G - bialetti,62.99,https://americanas.vtexassets.com/arquivos/ids/11249128/7467288956_1_xlarge.jpg?v=638754154563770000,0.0,500.0,12.6,Café
CAFE SOULUVEL NESCAFE SACHET 40G NESTLE,7.99,https://americanas.vtexassets.com/arquivos/ids/519353/7399073876_1_xlarge.jpg?v=638750830793300000,0.0,40.0,19.97,Café
Café Solúvel Nescafé Intensidade Máxima Vidro 160g,24.48,https://americanas.vtexassets.com/arquivos/ids/9628727/7492410477_1_xlarge.jpg?v=638752531081330000,0.0,160.0,15.3,Café
Café Torrado e Moído Descafeinado lavazza 250g,55.25,https://americanas.vtexassets.com/arquivos/ids/22360175/7356188526_1_xlarge.jpg?v=638755226059700000,0.0,250.0,22.1,Café
Café 3 Corações Tradicional com 250g Café 3 Corações Tradicional,19.99,https://americanas.vtexassets.com/arquivos/ids/14025869/2811349281_1_xlarge.jpg?v=638754460993070000,0.0,250.0,8.0,Café
Café Torrado Em Grãos Pct. 250G,37.44,https://americanas.vtexassets.com/arquivos/ids/13566429/4674458464_1_xlarge.jpg?v=638754413821470000,0.0,250.0,14.98,Café
Café 3 Corações em pó torrado moído Fort a vácuo 500 gramas,31.85,https://americanas.vtexassets.com/arquivos/ids/5965625/7482170050_1_xlarge.jpg?v=638751491352300000,0.0,500.0,6.37,Café
Café em Grãos América Gourmet 1kg - América,,https://americanas.vtexassets.com/arquivos/ids/27370033/42841755_1_xlarge.jpg?v=638755611958000000,5.0,1000.0,,Café
