produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Cafe com leite 3 coracoes sache 20 gr,1.49,https://americanas.vtexassets.com/arquivos/ids/413080/4879782014_1_xlarge.jpg?v=638750818421200000,5.0,20.0,7.45,Café
Café Almofada Tradicional com 500g Pilão,36.0,https://americanas.vtexassets.com/arquivos/ids/526309/9781619_1_xlarge.jpg?v=638750831339130000,5.0,500.0,7.2,Café
Café Torrado e Moído Tradicional pilão 500g,48.9,https://americanas.vtexassets.com/arquivos/ids/25159275/5966678856_1_xlarge.jpg?v=638755451070930000,0.0,500.0,9.78,Café
Café Solúvel Nescafé Original Vidro 100g,23.99,https://americanas.vtexassets.com/arquivos/ids/483508/104996399_1_xlarge.jpg?v=638750827700930000,5.0,100.0,23.99,Café
CAFE MOIDO GOURMET INTENSO 250G ORFEU,27.99,https://americanas.vtexassets.com/arquivos/ids/472768/7460085826_1_xlarge.jpg?v=638750826953300000,5.0,250.0,11.2,Café
CAFE C LEITE SOLUVEL ORIG 3 COR LATA300G,22.99,https://americanas.vtexassets.com/arquivos/ids/418404/7238061022_1_xlarge.jpg?v=638750819423430000,5.0,300.0,7.66,Café
Café em grãos bialetti roma 500G - bialetti,62.99,https://americanas.vtexassets.com/arquivos/ids/11249128/7467288956_1_xlarge.jpg?v=638754154563770000,0.0,500.0,12.6,Café
CAFE SOULUVEL NESCAFE SACHET 40G NESTLE,7.99,https://americanas.vtexassets.com/arquivos/ids/519353/7399073876_1_xlarge.jpg?v=638750830793300000,0.0,40.0,19.97,Café
Café Solúvel Nescafé Intensidade Máxima Vidro 160g,24.48,https://americanas.vtexassets.com/arquivos/ids/9628727/7492410477_1_xlarge.jpg?v=638752531081330000,0.0,160.0,15.3,Café
Café Torrado e Moído Descafeinado lavazza 250g,55.25,https://americanas.vtexassets.com/arquivos/ids/22360175/7356188526_1_xlarge.jpg?v=638755226059700000,0.0,250.0,22.1,Café
Café 3 Corações Tradicional com 250g Café 3 Corações Tradicional,19.99,https://americanas.vtexassets.com/arquivos/ids/14025869/2811349281_1_xlarge.jpg?v=638754460993070000,0.0,250.0,8.0,Café
Café Torrado Em Grãos Pct. 250G,37.44,https://americanas.vtexassets.com/arquivos/ids/13566429/4674458464_1_xlarge.jpg?v=638754413821470000,0.0,250.0,14.98,Café
Café 3 Corações em pó torrado moído Fort a vácuo 500 gramas,31.85,https://americanas.vtexassets.com/arquivos/ids/5965625/7482170050_1_xlarge.jpg?v=638751491352300000,0.0,500.0,6.37,Café
Café Torrado e Moído Tradicional Vácuo caboclo 500g,23.61,https://americanas.vtexassets.com/arquivos/ids/23065888/5966678346_1_xlarge.jpg?v=638755285046470000,0.0,500.0,4.72,Café
Café Em Grão Constantino Especial Minas Gerais 500G,64.19,https://americanas.vtexassets.com/arquivos/ids/21668161/5321296527_1_xlarge.jpg?v=638755167391500000,0.0,500.0,12.84,Café
Café Torrado E Moido Pilão A Vacuo 250g Tradicional,34.19,https://americanas.vtexassets.com/arquivos/ids/12573462/7506823609_1_xlarge.jpg?v=638754312846600000,0.0,250.0,13.68,Café
Café Em Pó 3 Corações Tradicional 500G,90.25,https://americanas.vtexassets.com/arquivos/ids/13485838/5235244000_1_xlarge.jpg?v=638754405652530000,0.0,500.0,18.05,Café
"Café em Grão, Orfeu, Clássico, 250g",43.9,https://americanas.vtexassets.com/arquivos/ids/16741682/5601905041_1_xlarge.jpg?v=638754707026600000,0.0,250.0,17.56,Café
Café Torrado E Moido Pilão 250g Tradicional,33.59,https://americanas.vtexassets.com/arquivos/ids/22685790/7500187229_1_xlarge.jpg?v=638755253401400000,0.0,250.0,13.44,Café
Café Gourmet Dark 3 Corações 250G,60.39,https://americanas.vtexassets.com/arquivos/ids/29055877/7481073433_1_xlarge.jpg?v=638755749425570000,0.0,250.0,24.16,Café
